FirstName LastName HW1 HW2 HW3 HW4 HW5 Exam
Name1 Surname1 6 8 4 10 1 6
Name2 Surname2 9 6 10 10 2 7
Name3 Surname3 4 6 8 8 3 1
Name4 Surname4 6 4 4 6 3 1
Name5 Surname5 2 10 10 1 7 8
Name6 Surname6 5 4 1 4 1 5
Name7 Surname7 9 10 3 7 10 6
Name8 Surname8 9 1 6 3 9 8
Name9 Surname9 1 8 3 5 4 3
Name10 Surname10 10 9 5 8 10 9
Name11 Surname11 8 4 8 7 2 7
Name12 Surname12 5 1 7 8 7 9
Name13 Surname13 9 2 6 1 4 5
Name14 Surname14 4 1 5 7 6 7
Name15 Surname15 7 8 6 5 4 8
Name16 Surname16 10 8 6 10 4 2
Name17 Surname17 5 5 2 9 7 6
Name18 Surname18 4 4 2 8 1 5
Name19 Surname19 2 6 9 8 7 2
Name20 Surname20 9 2 2 8 9 5
Name21 Surname21 3 3 1 9 4 4
Name22 Surname22 5 9 9 10 4 8
Name23 Surname23 5 4 3 5 2 2
Name24 Surname24 4 5 8 6 3 9
Name25 Surname25 5 8 4 4 10 10
Name26 Surname26 8 6 2 2 1 4
Name27 Surname27 6 8 6 6 5 9
Name28 Surname28 5 4 1 8 2 3
Name29 Surname29 10 5 2 3 5 4
Name30 Surname30 5 2 1 8 6 6
Name31 Surname31 8 9 5 8 5 10
Name32 Surname32 7 10 1 10 5 9
Name33 Surname33 3 8 10 9 9 4
Name34 Surname34 10 4 2 1 3 9
Name35 Surname35 1 7 5 7 3 7
Name36 Surname36 9 4 7 6 10 4
Name37 Surname37 9 8 1 9 1 6
Name38 Surname38 4 1 7 3 2 2
Name39 Surname39 5 4 5 3 9 3
Name40 Surname40 5 4 3 4 2 6
Name41 Surname41 7 9 7 8 5 3
Name42 Surname42 10 4 1 10 5 4
Name43 Surname43 6 4 4 3 4 8
Name44 Surname44 5 9 5 5 7 5
Name45 Surname45 2 6 8 4 1 1
Name46 Surname46 6 2 8 3 8 9
Name47 Surname47 9 10 2 6 9 4
Name48 Surname48 10 10 8 7 6 2
Name49 Surname49 6 3 9 4 1 8
Name50 Surname50 4 8 6 7 1 8
Name51 Surname51 1 4 5 10 2 9
Name52 Surname52 7 6 9 1 8 7
Name53 Surname53 1 4 8 8 4 2
Name54 Surname54 2 2 2 10 4 4
Name55 Surname55 2 5 3 10 4 1
Name56 Surname56 5 2 4 5 9 4
Name57 Surname57 8 9 5 8 7 5
Name58 Surname58 7 4 8 7 9 6
Name59 Surname59 1 2 4 5 2 8
Name60 Surname60 10 4 3 7 7 10
Name61 Surname61 7 3 10 5 6 5
Name62 Surname62 8 2 5 10 4 1
Name63 Surname63 1 7 8 7 6 3
Name64 Surname64 10 6 5 4 4 6
Name65 Surname65 10 3 4 4 6 9
Name66 Surname66 2 2 9 4 2 2
Name67 Surname67 9 8 5 4 10 3
Name68 Surname68 9 5 4 4 8 1
Name69 Surname69 5 4 8 4 1 5
Name70 Surname70 3 5 4 6 10 8
Name71 Surname71 2 9 1 6 4 3
Name72 Surname72 6 9 1 9 3 10
Name73 Surname73 4 4 2 7 2 10
Name74 Surname74 7 6 10 7 8 1
Name75 Surname75 9 10 1 1 9 1
Name76 Surname76 6 6 3 8 9 1
Name77 Surname77 6 10 8 10 6 3
Name78 Surname78 9 5 1 10 2 4
Name79 Surname79 9 10 7 10 6 4
Name80 Surname80 8 7 9 5 6 4
Name81 Surname81 2 1 5 2 4 10
Name82 Surname82 6 6 10 7 6 4
Name83 Surname83 10 5 8 7 7 3
Name84 Surname84 2 8 2 2 3 1
Name85 Surname85 9 7 1 9 5 2
Name86 Surname86 2 3 9 2 5 8
Name87 Surname87 1 7 4 6 1 3
Name88 Surname88 4 3 7 1 3 6
Name89 Surname89 6 8 10 7 6 3
Name90 Surname90 3 7 7 6 5 6
Name91 Surname91 6 3 3 5 5 5
Name92 Surname92 8 9 6 8 9 4
Name93 Surname93 2 6 6 4 10 1
Name94 Surname94 1 9 7 2 1 6
Name95 Surname95 7 2 2 1 5 8
Name96 Surname96 10 9 6 5 10 10
Name97 Surname97 7 10 9 6 2 2
Name98 Surname98 7 8 2 8 5 4
Name99 Surname99 9 10 4 1 10 1
Name100 Surname100 8 7 4 2 8 6
Name101 Surname101 6 8 8 1 4 6
Name102 Surname102 3 1 3 2 2 10
Name103 Surname103 7 1 1 10 10 9
Name104 Surname104 1 3 2 1 2 4
Name105 Surname105 2 5 6 4 2 7
Name106 Surname106 7 3 9 7 5 3
Name107 Surname107 2 7 1 3 3 2
Name108 Surname108 10 2 1 5 2 9
Name109 Surname109 6 3 9 3 1 2
Name110 Surname110 1 7 1 6 6 5
Name111 Surname111 8 3 9 7 10 3
Name112 Surname112 3 9 6 5 4 2
Name113 Surname113 4 1 3 1 3 10
Name114 Surname114 10 7 2 2 3 10
Name115 Surname115 1 8 1 4 1 1
Name116 Surname116 1 4 9 3 2 6
Name117 Surname117 10 5 2 6 2 4
Name118 Surname118 5 6 1 5 4 4
Name119 Surname119 8 1 3 8 6 9
Name120 Surname120 10 3 7 10 3 2
Name121 Surname121 1 10 2 2 3 8
Name122 Surname122 10 9 10 2 9 2
Name123 Surname123 10 6 2 7 5 7
Name124 Surname124 5 9 7 7 1 5
Name125 Surname125 8 4 2 1 7 10
Name126 Surname126 5 9 1 2 9 5
Name127 Surname127 10 2 10 7 3 8
Name128 Surname128 7 9 7 4 9 2
Name129 Surname129 3 6 1 5 2 1
Name130 Surname130 9 9 6 4 3 5
Name131 Surname131 7 8 9 3 4 9
Name132 Surname132 1 1 4 10 1 10
Name133 Surname133 4 5 2 9 6 6
Name134 Surname134 7 5 5 9 6 3
Name135 Surname135 3 6 3 7 1 10
Name136 Surname136 10 2 8 4 7 9
Name137 Surname137 3 6 9 10 7 8
Name138 Surname138 6 8 1 8 5 6
Name139 Surname139 10 4 3 7 4 3
Name140 Surname140 4 6 1 6 2 4
Name141 Surname141 2 5 5 10 9 4
Name142 Surname142 3 9 8 8 9 5
Name143 Surname143 6 4 6 8 10 9
Name144 Surname144 4 7 2 8 7 3
Name145 Surname145 9 2 6 7 5 3
Name146 Surname146 6 3 7 8 6 2
Name147 Surname147 2 9 1 5 3 2
Name148 Surname148 5 9 7 8 7 3
Name149 Surname149 3 2 7 3 1 8
Name150 Surname150 1 3 5 4 8 3
Name151 Surname151 8 3 2 6 4 6
Name152 Surname152 1 2 5 3 8 10
Name153 Surname153 4 1 1 3 6 10
Name154 Surname154 10 9 9 10 9 8
Name155 Surname155 1 2 10 10 10 6
Name156 Surname156 4 5 10 5 1 2
Name157 Surname157 5 10 6 3 7 7
Name158 Surname158 2 1 5 3 7 4
Name159 Surname159 4 5 5 8 3 7
Name160 Surname160 10 7 3 1 10 8
Name161 Surname161 7 9 8 1 1 6
Name162 Surname162 9 5 7 7 9 2
Name163 Surname163 3 7 7 10 6 1
Name164 Surname164 6 8 8 4 4 4
Name165 Surname165 9 7 8 2 5 5
Name166 Surname166 9 7 8 8 3 7
Name167 Surname167 4 8 3 4 4 2
Name168 Surname168 3 9 7 3 5 7
Name169 Surname169 9 4 3 1 2 2
Name170 Surname170 7 7 7 4 9 9
Name171 Surname171 4 10 10 5 2 3
Name172 Surname172 9 9 9 4 3 8
Name173 Surname173 5 9 10 3 1 1
Name174 Surname174 9 6 7 3 6 2
Name175 Surname175 4 7 2 9 8 8
Name176 Surname176 6 9 9 8 9 9
Name177 Surname177 3 10 6 2 3 2
Name178 Surname178 5 4 2 6 1 7
Name179 Surname179 6 1 3 9 8 2
Name180 Surname180 1 4 6 10 6 2
Name181 Surname181 3 6 2 6 4 1
Name182 Surname182 10 8 5 3 5 3
Name183 Surname183 1 5 6 5 9 1
Name184 Surname184 8 5 5 3 4 4
Name185 Surname185 6 9 4 10 1 2
Name186 Surname186 8 7 9 8 5 9
Name187 Surname187 4 8 7 2 7 1
Name188 Surname188 5 3 5 4 5 10
Name189 Surname189 2 9 5 8 4 10
Name190 Surname190 5 8 6 6 2 10
Name191 Surname191 7 8 3 4 4 7
Name192 Surname192 10 7 6 10 7 1
Name193 Surname193 5 9 8 6 5 2
Name194 Surname194 7 2 1 5 9 9
Name195 Surname195 6 10 10 5 4 6
Name196 Surname196 9 5 6 10 6 10
Name197 Surname197 8 6 8 7 8 7
Name198 Surname198 6 4 9 10 9 4
Name199 Surname199 7 2 6 2 9 10
Name200 Surname200 7 1 10 2 7 2
Name201 Surname201 10 5 7 10 3 7
Name202 Surname202 7 4 9 2 4 1
Name203 Surname203 2 7 9 3 1 3
Name204 Surname204 10 2 6 10 7 1
Name205 Surname205 6 7 2 2 7 6
Name206 Surname206 5 10 9 2 1 9
Name207 Surname207 8 4 8 2 4 9
Name208 Surname208 10 8 10 3 8 5
Name209 Surname209 9 3 10 4 3 7
Name210 Surname210 2 2 4 3 3 4
Name211 Surname211 10 2 7 10 6 5
Name212 Surname212 6 4 4 1 5 4
Name213 Surname213 8 6 3 2 7 10
Name214 Surname214 6 9 4 2 3 9
Name215 Surname215 7 1 1 1 3 7
Name216 Surname216 2 1 6 3 5 1
Name217 Surname217 7 1 7 6 7 5
Name218 Surname218 10 9 6 3 5 7
Name219 Surname219 3 4 2 10 3 1
Name220 Surname220 3 7 5 5 8 9
Name221 Surname221 9 7 7 9 4 9
Name222 Surname222 1 2 2 7 5 9
Name223 Surname223 1 7 5 5 4 6
Name224 Surname224 4 7 6 10 3 6
Name225 Surname225 2 5 4 4 8 6
Name226 Surname226 4 6 8 9 2 6
Name227 Surname227 2 6 8 9 1 7
Name228 Surname228 7 4 1 4 8 5
Name229 Surname229 6 4 4 1 6 7
Name230 Surname230 10 9 10 4 5 6
Name231 Surname231 7 8 2 5 2 10
Name232 Surname232 7 2 6 5 10 2
Name233 Surname233 9 3 10 1 1 5
Name234 Surname234 9 1 4 2 7 4
Name235 Surname235 3 8 6 3 3 10
Name236 Surname236 7 9 8 5 4 1
Name237 Surname237 9 9 8 3 1 4
Name238 Surname238 6 5 9 7 10 4
Name239 Surname239 5 10 4 1 3 3
Name240 Surname240 1 1 6 5 3 2
Name241 Surname241 10 1 5 9 9 3
Name242 Surname242 2 5 1 8 9 1
Name243 Surname243 4 3 5 2 1 9
Name244 Surname244 1 10 3 1 10 4
Name245 Surname245 8 7 6 8 9 2
Name246 Surname246 2 5 3 9 3 1
Name247 Surname247 2 8 10 3 3 5
Name248 Surname248 8 5 5 3 2 3
Name249 Surname249 5 7 4 8 5 2
Name250 Surname250 9 1 7 8 7 5
Name251 Surname251 7 3 8 2 6 10
Name252 Surname252 5 3 2 5 6 7
Name253 Surname253 8 6 7 3 7 10
Name254 Surname254 5 4 3 3 10 2
Name255 Surname255 7 10 8 1 5 10
Name256 Surname256 2 6 2 9 7 6
Name257 Surname257 10 7 10 7 1 1
Name258 Surname258 7 5 1 3 3 7
Name259 Surname259 6 7 3 3 3 1
Name260 Surname260 6 1 4 6 4 9
Name261 Surname261 9 4 2 4 6 7
Name262 Surname262 9 9 2 10 8 1
Name263 Surname263 6 7 2 10 9 8
Name264 Surname264 4 10 7 5 10 9
Name265 Surname265 3 7 9 10 9 9
Name266 Surname266 1 8 10 9 1 1
Name267 Surname267 6 7 10 3 6 3
Name268 Surname268 5 7 3 2 5 7
Name269 Surname269 9 3 2 8 6 8
Name270 Surname270 2 9 8 8 3 7
Name271 Surname271 3 4 6 2 2 2
Name272 Surname272 4 1 7 6 10 4
Name273 Surname273 4 5 8 6 7 4
Name274 Surname274 6 1 4 4 10 10
Name275 Surname275 7 10 5 5 6 4
Name276 Surname276 4 4 2 9 3 8
Name277 Surname277 9 1 1 9 7 7
Name278 Surname278 1 3 1 3 6 8
Name279 Surname279 6 8 9 10 6 4
Name280 Surname280 10 8 1 1 4 7
Name281 Surname281 6 9 10 5 8 5
Name282 Surname282 6 2 8 1 8 5
Name283 Surname283 6 10 9 10 3 1
Name284 Surname284 9 1 2 9 3 5
Name285 Surname285 8 2 4 5 6 9
Name286 Surname286 8 8 1 4 9 6
Name287 Surname287 9 6 5 3 9 4
Name288 Surname288 8 5 2 8 3 10
Name289 Surname289 5 7 6 2 6 9
Name290 Surname290 3 6 7 3 1 3
Name291 Surname291 3 5 9 6 9 1
Name292 Surname292 6 4 3 4 10 4
Name293 Surname293 7 3 1 2 8 2
Name294 Surname294 1 9 10 1 6 4
Name295 Surname295 2 5 10 4 6 2
Name296 Surname296 10 6 8 9 9 4
Name297 Surname297 2 4 10 4 2 5
Name298 Surname298 6 6 6 2 3 4
Name299 Surname299 6 3 4 8 10 6
Name300 Surname300 5 4 4 10 3 7
Name301 Surname301 3 4 2 6 6 3
Name302 Surname302 9 2 5 3 8 1
Name303 Surname303 1 5 10 9 2 4
Name304 Surname304 7 1 1 3 1 6
Name305 Surname305 10 10 3 3 10 10
Name306 Surname306 9 1 2 1 8 4
Name307 Surname307 2 10 6 6 2 8
Name308 Surname308 6 2 3 7 8 1
Name309 Surname309 4 10 6 5 1 3
Name310 Surname310 4 10 1 10 9 2
Name311 Surname311 5 2 4 4 6 8
Name312 Surname312 10 1 2 6 2 6
Name313 Surname313 5 2 3 10 7 4
Name314 Surname314 4 5 1 3 10 10
Name315 Surname315 9 7 7 8 6 8
Name316 Surname316 1 7 1 2 6 9
Name317 Surname317 1 4 7 10 4 6
Name318 Surname318 3 2 4 8 3 4
Name319 Surname319 8 7 5 6 3 4
Name320 Surname320 2 4 3 8 6 6
Name321 Surname321 9 6 7 3 8 2
Name322 Surname322 9 6 8 6 3 7
Name323 Surname323 1 3 7 8 2 10
Name324 Surname324 10 6 7 7 10 2
Name325 Surname325 8 5 6 7 8 8
Name326 Surname326 1 2 5 4 2 10
Name327 Surname327 4 9 3 8 5 9
