FirstName LastName FinalScore
Name7559 Surname7559 1.12
Name9536 Surname9536 1.24
Name477 Surname477 1.24
Name3066 Surname3066 1.3
Name455 Surname455 1.3
Name4021 Surname4021 1.36
Name1424 Surname1424 1.36
Name527 Surname527 1.36
Name7749 Surname7749 1.42
Name5015 Surname5015 1.42
Name8080 Surname8080 1.42
Name6662 Surname6662 1.42
Name9341 Surname9341 1.48
Name5940 Surname5940 1.48
Name7263 Surname7263 1.48
Name8030 Surname8030 1.54
Name8038 Surname8038 1.54
Name2025 Surname2025 1.54
Name4324 Surname4324 1.54
Name4631 Surname4631 1.6
Name2208 Surname2208 1.6
Name5125 Surname5125 1.6
Name5790 Surname5790 1.6
Name9903 Surname9903 1.6
Name4737 Surname4737 1.6
Name4758 Surname4758 1.6
Name6303 Surname6303 1.6
Name2127 Surname2127 1.6
Name5942 Surname5942 1.6
Name7100 Surname7100 1.6
Name944 Surname944 1.6
Name115 Surname115 1.6
Name6783 Surname6783 1.6
Name2161 Surname2161 1.6
Name1419 Surname1419 1.66
Name3970 Surname3970 1.66
Name7355 Surname7355 1.66
Name4900 Surname4900 1.66
Name1379 Surname1379 1.66
Name8618 Surname8618 1.66
Name8229 Surname8229 1.66
Name9425 Surname9425 1.66
Name2277 Surname2277 1.66
Name4466 Surname4466 1.66
Name557 Surname557 1.66
Name3368 Surname3368 1.66
Name9317 Surname9317 1.66
Name3062 Surname3062 1.66
Name1917 Surname1917 1.66
Name1682 Surname1682 1.66
Name6722 Surname6722 1.66
Name3419 Surname3419 1.66
Name7384 Surname7384 1.66
Name7449 Surname7449 1.66
Name6631 Surname6631 1.66
Name8005 Surname8005 1.66
Name2629 Surname2629 1.72
Name6824 Surname6824 1.72
Name5317 Surname5317 1.72
Name8388 Surname8388 1.72
Name5661 Surname5661 1.72
Name7409 Surname7409 1.72
Name4492 Surname4492 1.72
Name9497 Surname9497 1.72
Name5172 Surname5172 1.72
Name129 Surname129 1.72
Name84 Surname84 1.72
Name8635 Surname8635 1.72
Name8573 Surname8573 1.72
Name7824 Surname7824 1.72
Name3567 Surname3567 1.72
Name216 Surname216 1.72
Name5811 Surname5811 1.72
Name5016 Surname5016 1.72
Name7261 Surname7261 1.72
Name7679 Surname7679 1.72
Name8685 Surname8685 1.72
Name8684 Surname8684 1.78
Name6377 Surname6377 1.78
Name1331 Surname1331 1.78
Name3463 Surname3463 1.78
Name7200 Surname7200 1.78
Name5740 Surname5740 1.78
Name8354 Surname8354 1.78
Name9555 Surname9555 1.78
Name2974 Surname2974 1.78
Name4559 Surname4559 1.78
Name925 Surname925 1.78
Name942 Surname942 1.78
Name6889 Surname6889 1.78
Name713 Surname713 1.78
Name9984 Surname9984 1.78
Name8748 Surname8748 1.78
Name7879 Surname7879 1.78
Name2370 Surname2370 1.78
Name8499 Surname8499 1.78
Name5783 Surname5783 1.78
Name988 Surname988 1.78
Name6698 Surname6698 1.78
Name8243 Surname8243 1.78
Name7241 Surname7241 1.78
Name771 Surname771 1.78
Name567 Surname567 1.78
Name1067 Surname1067 1.78
Name2246 Surname2246 1.78
Name1441 Surname1441 1.84
Name1002 Surname1002 1.84
Name7514 Surname7514 1.84
Name9758 Surname9758 1.84
Name8932 Surname8932 1.84
Name3722 Surname3722 1.84
Name7576 Surname7576 1.84
Name9024 Surname9024 1.84
Name1524 Surname1524 1.84
Name509 Surname509 1.84
Name6602 Surname6602 1.84
Name4115 Surname4115 1.84
Name2263 Surname2263 1.84
Name4148 Surname4148 1.84
Name3423 Surname3423 1.84
Name3811 Surname3811 1.84
Name8862 Surname8862 1.84
Name5129 Surname5129 1.84
Name2640 Surname2640 1.84
Name2641 Surname2641 1.84
Name6144 Surname6144 1.84
Name6561 Surname6561 1.88
Name2418 Surname2418 1.9
Name7809 Surname7809 1.9
Name6411 Surname6411 1.9
Name2672 Surname2672 1.9
Name4509 Surname4509 1.9
Name9303 Surname9303 1.9
Name6957 Surname6957 1.9
Name4857 Surname4857 1.9
Name1201 Surname1201 1.9
Name5636 Surname5636 1.9
Name7385 Surname7385 1.9
Name7209 Surname7209 1.9
Name6166 Surname6166 1.9
Name3169 Surname3169 1.9
Name3372 Surname3372 1.9
Name3104 Surname3104 1.9
Name4015 Surname4015 1.9
Name3361 Surname3361 1.9
Name6832 Surname6832 1.9
Name6922 Surname6922 1.9
Name6288 Surname6288 1.9
Name3761 Surname3761 1.94
Name1611 Surname1611 1.94
Name3086 Surname3086 1.96
Name2511 Surname2511 1.96
Name6333 Surname6333 1.96
Name9206 Surname9206 1.96
Name6360 Surname6360 1.96
Name845 Surname845 1.96
Name1364 Surname1364 1.96
Name4739 Surname4739 1.96
Name9116 Surname9116 1.96
Name3524 Surname3524 1.96
Name181 Surname181 1.96
Name4785 Surname4785 1.96
Name5961 Surname5961 1.96
Name3484 Surname3484 1.96
Name8039 Surname8039 1.96
Name5194 Surname5194 1.96
Name6493 Surname6493 1.96
Name1281 Surname1281 1.96
Name9990 Surname9990 1.96
Name9342 Surname9342 1.96
Name5232 Surname5232 1.96
Name5233 Surname5233 1.96
Name3671 Surname3671 1.96
Name634 Surname634 1.96
Name5468 Surname5468 1.96
Name45 Surname45 1.96
Name6398 Surname6398 1.96
Name1947 Surname1947 1.96
Name9036 Surname9036 1.96
Name5847 Surname5847 1.96
Name1564 Surname1564 1.96
Name2528 Surname2528 1.96
Name3008 Surname3008 1.96
Name8815 Surname8815 2
Name2167 Surname2167 2.02
Name6139 Surname6139 2.02
Name246 Surname246 2.02
Name3505 Surname3505 2.02
Name811 Surname811 2.02
Name3491 Surname3491 2.02
Name4898 Surname4898 2.02
Name3723 Surname3723 2.02
Name6183 Surname6183 2.02
Name9766 Surname9766 2.02
Name9920 Surname9920 2.02
Name8621 Surname8621 2.02
Name5820 Surname5820 2.02
Name4026 Surname4026 2.02
Name2691 Surname2691 2.02
Name8992 Surname8992 2.02
Name8938 Surname8938 2.02
Name3675 Surname3675 2.02
Name6403 Surname6403 2.02
Name8882 Surname8882 2.02
Name7573 Surname7573 2.02
Name4590 Surname4590 2.02
Name3015 Surname3015 2.02
Name8414 Surname8414 2.02
Name7738 Surname7738 2.02
Name8577 Surname8577 2.02
Name2371 Surname2371 2.02
Name4480 Surname4480 2.02
Name9136 Surname9136 2.02
Name9820 Surname9820 2.02
Name5851 Surname5851 2.02
Name3930 Surname3930 2.02
Name6629 Surname6629 2.02
Name259 Surname259 2.02
Name7665 Surname7665 2.02
Name3455 Surname3455 2.02
Name6949 Surname6949 2.02
Name1241 Surname1241 2.02
Name219 Surname219 2.02
Name7502 Surname7502 2.02
Name1710 Surname1710 2.02
Name1321 Surname1321 2.02
Name5008 Surname5008 2.02
Name8104 Surname8104 2.02
Name7659 Surname7659 2.06
Name515 Surname515 2.06
Name6056 Surname6056 2.06
Name9007 Surname9007 2.06
Name5090 Surname5090 2.06
Name6746 Surname6746 2.08
Name3315 Surname3315 2.08
Name7957 Surname7957 2.08
Name6743 Surname6743 2.08
Name8733 Surname8733 2.08
Name1828 Surname1828 2.08
Name6621 Surname6621 2.08
Name4000 Surname4000 2.08
Name8336 Surname8336 2.08
Name2290 Surname2290 2.08
Name4416 Surname4416 2.08
Name5497 Surname5497 2.08
Name578 Surname578 2.08
Name5881 Surname5881 2.08
Name2509 Surname2509 2.08
Name7704 Surname7704 2.08
Name2446 Surname2446 2.08
Name8235 Surname8235 2.08
Name6933 Surname6933 2.08
Name7553 Surname7553 2.08
Name4720 Surname4720 2.08
Name7575 Surname7575 2.08
Name9069 Surname9069 2.08
Name597 Surname597 2.08
Name3873 Surname3873 2.08
Name9049 Surname9049 2.08
Name6511 Surname6511 2.08
Name7728 Surname7728 2.08
Name4209 Surname4209 2.08
Name2368 Surname2368 2.08
Name9673 Surname9673 2.08
Name4 Surname4 2.08
Name6164 Surname6164 2.08
Name6008 Surname6008 2.08
Name6809 Surname6809 2.08
Name1444 Surname1444 2.08
Name4363 Surname4363 2.08
Name9996 Surname9996 2.08
Name8153 Surname8153 2.08
Name3637 Surname3637 2.08
Name8002 Surname8002 2.08
Name924 Surname924 2.08
Name6711 Surname6711 2.08
Name2821 Surname2821 2.08
Name6687 Surname6687 2.08
Name6675 Surname6675 2.08
Name667 Surname667 2.08
Name5691 Surname5691 2.08
Name8863 Surname8863 2.12
Name7979 Surname7979 2.12
Name4370 Surname4370 2.12
Name1051 Surname1051 2.14
Name7990 Surname7990 2.14
Name3384 Surname3384 2.14
Name1575 Surname1575 2.14
Name4608 Surname4608 2.14
Name570 Surname570 2.14
Name4221 Surname4221 2.14
Name2581 Surname2581 2.14
Name7405 Surname7405 2.14
Name859 Surname859 2.14
Name6822 Surname6822 2.14
Name2817 Surname2817 2.14
Name2816 Surname2816 2.14
Name6776 Surname6776 2.14
Name7415 Surname7415 2.14
Name7471 Surname7471 2.14
Name5943 Surname5943 2.14
Name7959 Surname7959 2.14
Name505 Surname505 2.14
Name4069 Surname4069 2.14
Name2886 Surname2886 2.14
Name1045 Surname1045 2.14
Name9370 Surname9370 2.14
Name3953 Surname3953 2.14
Name1632 Surname1632 2.14
Name786 Surname786 2.14
Name5285 Surname5285 2.14
Name4143 Surname4143 2.14
Name55 Surname55 2.14
Name1662 Surname1662 2.14
Name1036 Surname1036 2.14
Name7433 Surname7433 2.14
Name7668 Surname7668 2.14
Name5839 Surname5839 2.14
Name695 Surname695 2.14
Name3813 Surname3813 2.14
Name6167 Surname6167 2.14
Name1100 Surname1100 2.14
Name3825 Surname3825 2.14
Name1451 Surname1451 2.14
Name8093 Surname8093 2.14
Name6240 Surname6240 2.14
Name8166 Surname8166 2.14
Name5600 Surname5600 2.14
Name2042 Surname2042 2.14
Name9278 Surname9278 2.14
Name6151 Surname6151 2.14
Name2321 Surname2321 2.14
Name8412 Surname8412 2.18
Name3278 Surname3278 2.2
Name8477 Surname8477 2.2
Name7889 Surname7889 2.2
Name7884 Surname7884 2.2
Name8788 Surname8788 2.2
Name8468 Surname8468 2.2
Name3590 Surname3590 2.2
Name2764 Surname2764 2.2
Name2742 Surname2742 2.2
Name8440 Surname8440 2.2
Name6769 Surname6769 2.2
Name697 Surname697 2.2
Name996 Surname996 2.2
Name6884 Surname6884 2.2
Name3312 Surname3312 2.2
Name6350 Surname6350 2.2
Name4919 Surname4919 2.2
Name9857 Surname9857 2.2
Name4931 Surname4931 2.2
Name8860 Surname8860 2.2
Name1197 Surname1197 2.2
Name5797 Surname5797 2.2
Name7479 Surname7479 2.2
Name9393 Surname9393 2.2
Name1345 Surname1345 2.2
Name5238 Surname5238 2.2
Name9664 Surname9664 2.2
Name1685 Surname1685 2.2
Name2947 Surname2947 2.2
Name242 Surname242 2.2
Name5437 Surname5437 2.2
Name641 Surname641 2.2
Name4798 Surname4798 2.2
Name8099 Surname8099 2.2
Name5726 Surname5726 2.2
Name3475 Surname3475 2.2
Name7671 Surname7671 2.2
Name357 Surname357 2.2
Name7930 Surname7930 2.2
Name1053 Surname1053 2.2
Name5527 Surname5527 2.2
Name8695 Surname8695 2.2
Name3354 Surname3354 2.2
Name7333 Surname7333 2.2
Name1088 Surname1088 2.2
Name4683 Surname4683 2.2
Name6833 Surname6833 2.2
Name6502 Surname6502 2.2
Name2493 Surname2493 2.2
Name1555 Surname1555 2.2
Name9803 Surname9803 2.2
Name9922 Surname9922 2.24
Name6972 Surname6972 2.24
Name6830 Surname6830 2.24
Name1652 Surname1652 2.24
Name2123 Surname2123 2.24
Name7323 Surname7323 2.24
Name8518 Surname8518 2.24
Name6571 Surname6571 2.26
Name5400 Surname5400 2.26
Name5911 Surname5911 2.26
Name2954 Surname2954 2.26
Name9277 Surname9277 2.26
Name1417 Surname1417 2.26
Name202 Surname202 2.26
Name9386 Surname9386 2.26
Name8903 Surname8903 2.26
Name8063 Surname8063 2.26
Name7973 Surname7973 2.26
Name939 Surname939 2.26
Name3851 Surname3851 2.26
Name3828 Surname3828 2.26
Name7038 Surname7038 2.26
Name4638 Surname4638 2.26
Name5109 Surname5109 2.26
Name660 Surname660 2.26
Name8710 Surname8710 2.26
Name7877 Surname7877 2.26
Name7033 Surname7033 2.26
Name8617 Surname8617 2.26
Name4189 Surname4189 2.26
Name3666 Surname3666 2.26
Name3415 Surname3415 2.26
Name6258 Surname6258 2.26
Name5383 Surname5383 2.26
Name2518 Surname2518 2.26
Name3092 Surname3092 2.26
Name308 Surname308 2.26
Name798 Surname798 2.26
Name3352 Surname3352 2.26
Name3488 Surname3488 2.26
Name3284 Surname3284 2.26
Name6222 Surname6222 2.26
Name3298 Surname3298 2.26
Name3302 Surname3302 2.26
Name800 Surname800 2.26
Name183 Surname183 2.26
Name2352 Surname2352 2.26
Name9885 Surname9885 2.26
Name8315 Surname8315 2.26
Name7876 Surname7876 2.26
Name7784 Surname7784 2.26
Name5551 Surname5551 2.26
Name1500 Surname1500 2.26
Name535 Surname535 2.26
Name7441 Surname7441 2.26
Name1487 Surname1487 2.26
Name9986 Surname9986 2.26
Name9367 Surname9367 2.26
